"x.dashed","y.dashed.lb","y.dashed.ub","x.solid","y.solid.lb","y.solid.ub"
0,54.4642857142857,54.4642857142857,0,50,50
0.01,55.3571428571429,54.4642857142857,0.01,50,51.7857142857143
0.02,53.5714285714286,58.0357142857143,0.02,49.1071428571429,51.7857142857143
0.03,53.5714285714286,57.1428571428571,0.03,49.1071428571429,51.7857142857143
0.04,51.7857142857143,59.8214285714286,0.04,48.2142857142857,50.8928571428571
0.05,50.8928571428571,58.9285714285714,0.05,48.2142857142857,52.6785714285714
0.06,50,58.9285714285714,0.06,47.3214285714286,52.6785714285714
0.07,50,63.3928571428571,0.07,46.4285714285714,54.4642857142857
0.08,48.2142857142857,60.7142857142857,0.08,46.4285714285714,53.5714285714286
0.09,49.1071428571429,62.5,0.09,45.5357142857143,55.3571428571429
0.1,46.4285714285714,64.2857142857143,0.1,44.6428571428571,55.3571428571429
0.11,45.5357142857143,64.2857142857143,0.11,44.6428571428571,56.25
0.12,45.5357142857143,65.1785714285714,0.12,43.75,57.1428571428571
0.13,44.6428571428571,66.0714285714286,0.13,43.75,58.0357142857143
0.14,43.75,66.0714285714286,0.14,42.8571428571429,58.0357142857143
0.15,43.75,66.9642857142857,0.15,42.8571428571429,58.0357142857143
0.16,42.8571428571429,68.75,0.16,41.9642857142857,58.9285714285714
0.17,42.8571428571429,69.6428571428571,0.17,41.9642857142857,58.9285714285714
0.18,41.9642857142857,70.5357142857143,0.18,41.9642857142857,58.9285714285714
0.19,40.1785714285714,72.3214285714286,0.19,40.1785714285714,59.8214285714286
0.2,39.2857142857143,71.4285714285714,0.2,40.1785714285714,61.6071428571429
0.21,39.2857142857143,73.2142857142857,0.21,41.0714285714286,61.6071428571429
0.22,38.3928571428571,75,0.22,39.2857142857143,62.5
0.23,35.7142857142857,75,0.23,39.2857142857143,63.3928571428571
0.24,35.7142857142857,75.8928571428571,0.24,38.3928571428571,63.3928571428571
0.25,33.9285714285714,76.7857142857143,0.25,38.3928571428571,64.2857142857143
0.26,33.9285714285714,79.4642857142857,0.26,38.3928571428571,64.2857142857143
0.27,32.1428571428571,77.6785714285714,0.27,37.5,65.1785714285714
0.28,32.1428571428571,78.5714285714286,0.28,37.5,66.0714285714286
0.29,33.0357142857143,80.3571428571429,0.29,35.7142857142857,66.9642857142857
0.3,28.5714285714286,80.3571428571429,0.3,36.6071428571429,66.9642857142857
0.31,30.3571428571429,82.1428571428571,0.31,36.6071428571429,66.9642857142857
0.32,29.4642857142857,83.9285714285714,0.32,34.8214285714286,68.75
0.33,27.6785714285714,83.0357142857143,0.33,34.8214285714286,67.8571428571429
0.34,26.7857142857143,85.7142857142857,0.34,34.8214285714286,69.6428571428571
0.35,25.8928571428571,86.6071428571429,0.35,33.9285714285714,69.6428571428571
0.36,25,87.5,0.36,33.9285714285714,71.4285714285714
0.37,23.2142857142857,87.5,0.37,33.0357142857143,70.5357142857143
0.38,23.2142857142857,88.3928571428571,0.38,33.0357142857143,72.3214285714286
0.39,24.1071428571429,89.2857142857143,0.39,32.1428571428571,73.2142857142857
0.4,22.3214285714286,90.1785714285714,0.4,32.1428571428571,73.2142857142857
0.41,21.4285714285714,91.0714285714286,0.41,31.25,74.1071428571429
0.42,19.6428571428571,93.75,0.42,30.3571428571429,75
0.43,20.5357142857143,92.8571428571429,0.43,29.4642857142857,75.8928571428571
0.44,18.75,94.6428571428571,0.44,29.4642857142857,75.8928571428571
0.45,16.9642857142857,95.5357142857143,0.45,28.5714285714286,77.6785714285714
0.46,16.0714285714286,96.4285714285714,0.46,28.5714285714286,78.5714285714286
0.47,15.1785714285714,99.1071428571429,0.47,27.6785714285714,79.4642857142857
0.48,15.1785714285714,98.2142857142857,0.48,27.6785714285714,81.25
0.49,13.3928571428571,100,0.49,26.7857142857143,80.3571428571429
0.5,12.5,100,0.5,25.8928571428571,80.3571428571429
0.51,10.7142857142857,100,0.51,25.8928571428571,82.1428571428571
0.52,11.6071428571429,100,0.52,25,83.9285714285714
0.53,8.92857142857143,100,0.53,25,83.0357142857143
0.54,9.82142857142857,100,0.54,23.2142857142857,85.7142857142857
0.55,8.03571428571429,100,0.55,24.1071428571429,84.8214285714286
0.56,7.14285714285714,100,0.56,22.3214285714286,86.6071428571429
0.57,7.14285714285714,100,0.57,22.3214285714286,88.3928571428571
0.58,5.35714285714286,100,0.58,21.4285714285714,88.3928571428571
0.59,4.46428571428571,100,0.59,21.4285714285714,89.2857142857143
0.6,3.57142857142857,100,0.6,20.5357142857143,91.0714285714286
0.61,2.67857142857143,100,0.61,19.6428571428571,91.9642857142857
0.62,1.78571428571429,100,0.62,17.8571428571429,92.8571428571429
0.63,0.892857142857143,100,0.63,18.75,93.75
0.64,0,100,0.64,16.9642857142857,95.5357142857143
0.65,0,100,0.65,16.0714285714286,96.4285714285714
0.66,0,100,0.66,15.1785714285714,97.3214285714286
0.67,0,100,0.67,14.2857142857143,97.3214285714286
0.68,0,100,0.68,12.5,97.3214285714286
0.69,0,100,0.69,13.3928571428571,98.2142857142857
0.7,0,100,0.7,11.6071428571429,98.2142857142857
0.71,0,100,0.71,10.7142857142857,98.2142857142857
