"x.dashed","y.dashed.lb","y.dashed.ub","x.solid","y.solid.lb","y.solid.ub"
0,47.4671669793621,47.4671669793621,0,51.031894934334,51.031894934334
0.01,47.0919324577861,48.0300187617261,0.01,50.656660412758,51.125703564728
0.02,46.6228893058161,47.8424015009381,0.02,50.375234521576,50.750469043152
0.03,46.7166979362101,48.4990619136961,0.03,49.812382739212,51.8761726078799
0.04,46.8105065666041,49.155722326454,0.04,49.906191369606,51.6885553470919
0.05,46.0600375234522,48.5928705440901,0.05,48.968105065666,52.2514071294559
0.06,46.3414634146341,49.343339587242,0.06,49.06191369606,52.3452157598499
0.07,45.1219512195122,49.718574108818,0.07,48.4052532833021,52.7204502814259
0.08,45.6848030018762,49.06191369606,0.08,48.0300187617261,53.1894934333959
0.09,45.4033771106942,49.437148217636,0.09,48.1238273921201,54.0337711069418
0.1,45.2157598499062,50.093808630394,0.1,47.4671669793621,54.4090056285178
0.11,44.6529080675422,50.46904315197,0.11,46.9981238273921,54.6904315196998
0.12,44.9343339587242,50.844277673546,0.12,46.6228893058161,54.5966228893058
0.13,43.5272045028143,50.93808630394,0.13,47.1857410881801,54.8780487804878
0.14,44.4652908067542,51.031894934334,0.14,46.1538461538462,55.8161350844278
0.15,43.2457786116323,51.6885553470919,0.15,45.5909943714822,55.2532833020638
0.16,43.1519699812383,51.5009380863039,0.16,45.4033771106942,56.2851782363977
0.17,43.4333958724203,51.7823639774859,0.17,45.2157598499062,56.1913696060037
0.18,42.9643527204503,52.6266416510319,0.18,45.0281425891182,56.0975609756098
0.19,42.4015009380863,52.5328330206379,0.19,44.6529080675422,56.8480300187617
0.2,42.1200750469043,52.7204502814259,0.2,43.9962476547842,57.5984990619137
0.21,41.8386491557223,53.0018761726079,0.21,44.1838649155722,57.4108818011257
0.22,41.5572232645403,52.8142589118199,0.22,43.8086303939962,57.8799249530957
0.23,41.2757973733583,53.6585365853659,0.23,43.5272045028143,57.7861163227017
0.24,41.4634146341463,53.8461538461538,0.24,43.6210131332083,58.1613508442777
0.25,41.3696060037523,54.1275797373358,0.25,42.8705440900563,58.7242026266417
0.26,41.0881801125704,54.8780487804878,0.26,42.6829268292683,59.0994371482176
0.27,40.6191369606004,54.9718574108818,0.27,42.9643527204503,59.1932457786116
0.28,40.2439024390244,55.0656660412758,0.28,42.1200750469043,60.0375234521576
0.29,40.0562851782364,55.1594746716698,0.29,42.2138836772983,60.4127579737336
0.3,39.6810506566604,55.4409005628518,0.3,41.7448405253283,60.2251407129456
0.31,39.5872420262664,56.0975609756098,0.31,41.6510318949343,61.2570356472795
0.32,39.1181988742964,56.2851782363977,0.32,41.5572232645403,61.1632270168856
